"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","5981","0.0-0.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","","","","","","","","","","","","",""
"","","","","","instructions","1","9198","0.0-1.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":3216}]","3216","","","","","","","","","","","",""
"","","","","","instructions","2","13454","0.0-2.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":4254}]","4255","","","","","","","","","","","",""
"true","","","","","fullscreen","3","17769","0.0-3.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","3312","","","","","","","","","","","",""
"","","","","","instructions","4","39741","0.0-4.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":21971}]","21972","","","","","","","","","","","",""
"","","","","","instructions","5","54824","0.0-5.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":15082}]","15082","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","58828","0.0-6.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","61831","0.0-7.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","",""
"","","","","","html-keyboard-response","8","65834","0.0-8.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","67003","0.0-9.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","1166","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","",""
"","","","","","html-keyboard-response","10","71005","0.0-10.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","11","71888","0.0-11.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","881","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","",""
"","","","","","html-keyboard-response","12","75889","0.0-12.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","13","76952","0.0-13.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","","1061","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","",""
"","","","","","instructions","14","79567","0.0-14.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":2615}]","2615","","","","","","","","","","","",""
"","","","","","instructions","15","92345","0.0-15.0","DAB997EDB1FC48B29F8A234F96E567FC","019cf989-33b7-7fe5-9ae9-64c587960411","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":12776}]","12777","","","","","","","","","","","",""
