"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","reward_type","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","2050","0.0-0.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","","","","","","","","","","",""
"","","","","","instructions","1","3369","0.0-1.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":1314}]","1315","","","","","","","","","",""
"","","","","","instructions","2","6058","0.0-2.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":2688}]","2688","","","","","","","","","",""
"true","","","","","fullscreen","3","8552","0.0-3.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","1488","","","","","","","","","",""
"","","","","","instructions","4","12877","0.0-4.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":4323}]","4324","","","","","","","","","",""
"","","","","","instructions","5","17526","0.0-5.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":4648}]","4648","","","","","","","","","",""
"","","","","","html-keyboard-response","6","21535","0.0-6.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","23136","0.0-7.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","1599","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","27141","0.0-8.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","27855","0.0-9.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","713","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
"","","","","","html-keyboard-response","10","31859","0.0-10.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","11","32805","0.0-11.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","945","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","",""
"","","","","","html-keyboard-response","12","36806","0.0-12.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","13","37518","0.0-13.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","","710","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","",""
"","","","","","instructions","14","39549","0.0-14.0","479F6E74C375417E820E549AACD7C22A","019ce87e-c897-7e27-ba65-8e7445581f6c","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":2030}]","2031","","","","","","","","","",""
