"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","8711","0.0-0.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","","","","","","","","","","","",""
"","","","","","instructions","1","12449","0.0-1.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":3736}]","3736","","","","","","","","","","",""
"","","","","","instructions","2","22792","0.0-2.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":10341}]","10342","","","","","","","","","","",""
"true","","","","","fullscreen","3","29804","0.0-3.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","5993","","","","","","","","","","",""
"","","","","","instructions","4","36134","0.0-4.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":6328}]","6329","","","","","","","","","","",""
"","","","","","instructions","5","44264","0.0-5.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":8128}]","8129","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","48267","0.0-6.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","49973","0.0-7.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","1703","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","53981","0.0-8.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","55341","0.0-9.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","1358","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","59350","0.0-10.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","60524","0.0-11.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","1172","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","64535","0.0-12.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","13","65878","0.0-13.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","1336","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","",""
"","","","","","instructions","14","69624","0.0-14.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":3746}]","3746","","","","","","","","","","",""
"","","","","","instructions","15","74063","0.0-15.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","[{""page_index"":0,""viewing_time"":4438}]","4438","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","75068","0.0-16.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","17","80070","0.0-17.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/housework_semantic/housework_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","18","81181","0.0-18.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","1109","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/housework_semantic/housework_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","housework_semantic","semantic_sequence","","","","",""
"","","","","","html-keyboard-response","19","86196","0.0-19.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/housework_semantic/housework_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","20","87130","0.0-20.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","931","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/housework_semantic/housework_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","2","housework_semantic","semantic_sequence","","","","",""
"","","","","","html-keyboard-response","21","92139","0.0-21.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/housework_semantic/housework_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","22","93211","0.0-22.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","1069","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/housework_semantic/housework_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","housework_semantic","semantic_sequence","","","","",""
"","","","","","html-keyboard-response","23","98223","0.0-23.0","2550814AEB7C4AB5B74CB93587423C76","019cf817-44d4-70d8-82cf-e29e8d0de9a9","019cf80d-4266-7117-8a51-54e13c84aca4","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/housework_semantic/housework_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
