"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","6308","0.0-0.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","8594","0.0-1.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":2286}]","2286","","","","","","","","","","","","","",""
"","","","","","instructions","2","10844","0.0-2.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":2247}]","2247","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","12782","0.0-3.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","931","","","","","","","","","","","","","",""
"","","","","","instructions","4","16661","0.0-4.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":3876}]","3876","","","","","","","","","","","","","",""
"","","","","","instructions","5","20461","0.0-5.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":3798}]","3798","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","24468","0.0-6.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","25861","0.0-7.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","1392","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","30029","0.0-8.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","31861","0.0-9.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","1830","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","35884","0.0-10.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","11","36743","0.0-11.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","859","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","",""
"","","","","","html-keyboard-response","12","40996","0.0-12.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","13","41578","0.0-13.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","581","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","","","",""
"","","","","","instructions","14","42844","0.0-14.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":1266}]","1266","","","","","","","","","","","","","",""
"","","","","","instructions","15","43911","0.0-15.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":1065}]","1066","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","48917","0.0-16.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","53929","0.0-17.0","480FD71754F64F02888991DB1A7ABB5D","019cfc3b-e451-7b94-82e3-47cc2416266c","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/flight_scheme/flight_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
