"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","3085","0.0-0.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","","","","","","","","","","","","",""
"","","","","","instructions","1","4757","0.0-1.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":1672}]","1672","","","","","","","","","","","",""
"","","","","","instructions","2","8648","0.0-2.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":3891}]","3891","","","","","","","","","","","",""
"true","","","","","fullscreen","3","11007","0.0-3.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","1356","","","","","","","","","","","",""
"","","","","","instructions","4","14861","0.0-4.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":3853}]","3854","","","","","","","","","","","",""
"","","","","","instructions","5","30044","0.0-5.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":15182}]","15183","","","","","","","","","","","",""
"","","","","","html-button-response","6","32125","0.0-6.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","2080","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","visiting_cities_semantic","","","","","","","",""
"","","","","","html-keyboard-response","7","40127","0.0-7.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","visiting_cities_semantic","semantic_sequence","4","valuable","","","","",""
"","","","","","html-keyboard-response","8","45130","0.0-8.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","46694","0.0-9.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","1562","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/housework_semantic/housework_semantic_6.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","housework_semantic","","","","","","","",""
"","","","","","html-keyboard-response","10","54696","0.0-10.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/housework_semantic/housework_semantic_6.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","housework_semantic","semantic_sequence","6","neutral","","","","",""
"","","","","","html-keyboard-response","11","59699","0.0-11.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","12","61108","0.0-12.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","1408","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","self_care_activities_semantic","","","","","","","",""
"","","","","","html-keyboard-response","13","69111","0.0-13.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_7.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","self_care_activities_semantic","semantic_sequence","7","neutral","","","","",""
"","","","","","html-keyboard-response","14","74113","0.0-14.0","06B376D9913647B39A08A4FB720BF2D1","019db62b-0b8e-77ce-a4bc-cad593922658","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
