"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","6483","0.0-0.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","15952","0.0-1.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","[{""page_index"":0,""viewing_time"":9467}]","9468","","","","","","","","","","","","","",""
"","","","","","instructions","2","34702","0.0-2.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","[{""page_index"":0,""viewing_time"":18748}]","18748","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","54826","0.0-3.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","19108","","","","","","","","","","","","","",""
"","","","","","instructions","4","128613","0.0-4.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","[{""page_index"":0,""viewing_time"":73785}]","73786","","","","","","","","","","","","","",""
"","","","","","instructions","5","142079","0.0-5.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","[{""page_index"":0,""viewing_time"":13464}]","13464","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","146093","0.0-6.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","149108","0.0-7.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","153120","0.0-8.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","154791","0.0-9.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","1669","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","158799","0.0-10.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","11","160616","0.0-11.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","1815","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","",""
"","","","","","html-keyboard-response","12","164626","0.0-12.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","13","166250","0.0-13.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","","1622","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","","","",""
"","","","","","instructions","14","169671","0.0-14.0","7276F172430D4C8D8F2F2C2E131F0FAB","019cfc7d-539e-7865-9472-ff94b2d6fe35","019cfc7b-6c7b-7b1b-afe7-acad8efc6711","[{""page_index"":0,""viewing_time"":3420}]","3420","","","","","","","","","","","","","",""
