"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","correct_choice","chosen_image_index","target_X"
"true","false","[]","[]","[]","preload","0","1852","0.0-0.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","","","","","","","","","","","","",""
"","","","","","instructions","1","8439","0.0-1.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":6586}]","6587","","","","","","","","","","","",""
"","","","","","instructions","2","104542","0.0-2.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":96102}]","96102","","","","","","","","","","","",""
"true","","","","","fullscreen","3","109490","0.0-3.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","3939","","","","","","","","","","","",""
"","","","","","instructions","4","122621","0.0-4.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":13130}]","13130","","","","","","","","","","","",""
"","","","","","instructions","5","160503","0.0-5.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":37882}]","37882","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","164505","0.0-6.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","166415","0.0-7.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","1908","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","",""
"","","","","","html-keyboard-response","8","170428","0.0-8.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","171889","0.0-9.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","1460","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","",""
"","","","","","html-keyboard-response","10","175903","0.0-10.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","11","177050","0.0-11.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","1147","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","",""
"","","","","","html-keyboard-response","12","181052","0.0-12.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","13","182707","0.0-13.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","1652","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","",""
"","","","","","instructions","14","185671","0.0-14.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":2964}]","2964","","","","","","","","","","","",""
"","","","","","instructions","15","197099","0.0-15.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","[{""page_index"":0,""viewing_time"":11427}]","11427","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","202100","0.0-16.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","17","203116","0.0-17.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","18","206121","0.0-18.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","null","main_experiment_trial","5","package_causal","causal_sequence","randomized","","","","",""
"","","","","","html-keyboard-response","19","207143","0.0-19.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","20","208489","0.0-20.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","1345","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","7","package_causal","causal_sequence","randomized","","","","",""
"","","","","","html-keyboard-response","21","209496","0.0-21.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","22","210339","0.0-22.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","842","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","ten","package_causal","causal_sequence","randomized","","","","",""
"","","","","","html-keyboard-response","23","211350","0.0-23.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","24","212316","0.0-24.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","963","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","8","package_causal","causal_sequence","randomized","","","","",""
"","","","","","html-keyboard-response","25","213319","0.0-25.0","395BBDEC12254BD8B2EBF67F2E224193","019cf9ab-6549-7421-be91-ecbd96e933db","019cf974-7aee-7bc9-8ea4-9f55741b365d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
