"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","valuable_image_index","reward_type","valuable_X","chosen_image_index","distance_from_X"
"false","false","[]","[]","[]","preload","0","3664","0.0-0.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","","","","","","","","","","",""
"","","","","","instructions","1","8015","0.0-1.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":4349}]","4350","","","","","","","","","",""
"","","","","","instructions","2","10309","0.0-2.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":2294}]","2294","","","","","","","","","",""
"true","","","","","fullscreen","3","12885","0.0-3.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","1574","","","","","","","","","",""
"","","","","","instructions","4","22932","0.0-4.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":10046}]","10046","","","","","","","","","",""
"","","","","","instructions","5","48754","0.0-5.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":25822}]","25822","","","","","","","","","",""
"","","","","","html-keyboard-response","6","52768","0.0-6.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","55168","0.0-7.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","2399","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","59184","0.0-8.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","62008","0.0-9.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","2823","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
"","","","","","html-keyboard-response","10","66017","0.0-10.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","11","66658","0.0-11.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","640","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","",""
"","","","","","html-keyboard-response","12","70668","0.0-12.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","13","71301","0.0-13.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","632","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","",""
"","","","","","instructions","14","72569","0.0-14.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","[{""page_index"":0,""viewing_time"":1267}]","1267","","","","","","","","","",""
"","","","","","html-keyboard-response","15","73584","0.0-15.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","<div style=""background-color: gray; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","16","78588","0.0-16.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","","",""
"","","","","","html-button-response","17","79694","0.0-17.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","1104","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image"">
                        <div class=""question-area"">
                            <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                        </div>
                    </div>","0","main_causal_task","1","the_performance_causal","","","","",""
"","","","","","html-keyboard-response","18","84696","0.0-18.0","F7C17C815EBF4B778E51C4B14274D48F","019ce877-76fb-7aa4-8ddb-58ce8f7bed73","019ce875-66c2-7f0b-b5e8-086c75889f84","","null","
                    <div class=""stimulus-container"">
                        <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image"">
                        <div class=""question-area""></div> 
                    </div>","null","","","","","","","",""
